kind,etag,id,video_link,video_id,publishedAt,channelId,title,description,thumbnails,channelTitle,playlistId,position,resourceId,videoOwnerChannelTitle,videoOwnerChannelId,thumbnail
youtube#playlistItem,CnOlMkR1yzIVUirmGDLt816Bjow,UExHcm1XSEFwczdCd21uMTZSWEEwUjNxbDJyOW9uOFNRMi5ENjI1QUI0MDI5NEQzODFE,https://www.youtube.com/watch?v=4DoAUh_BVOM,4DoAUh_BVOM,2025-01-06T17:07:46Z,UCu0amGxQJBNtd1YlTFETTqQ,"December 16th, 2024: City Planning Commission Review Session + Special Public Meeting","Calendar for December 16*, 2024: https://www1.nyc.gov/assets/planning/download/pdf/about/commission/review-session.pdf?r=12/16/24.
*Meeting held in person in the New York City Department of City Planning Hearing Room, 120 Broadway, Lower Concourse, and remotely via ZOOM Webinar.

Upcoming CPC meetings: https://www1.nyc.gov/site/planning/about/commission-meetings.page

City Planning Commission (CPC) Public Meetings are open to the public and typically begin at 10:00am on Wednesdays, following a Monday CPC Review Session. The CPC Public Meetings are comprised of:

- Scheduling dates for future public hearings
- Reports (Commission votes)
- Public hearings, during which testimony is accepted regarding land use applications in public review

 Closed captioning is available through YouTube, and DCP makes no representations or warranties with respect thereto.","{'default': {'url': 'https://i.ytimg.com/vi/4DoAUh_BVOM/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/4DoAUh_BVOM/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/4DoAUh_BVOM/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/4DoAUh_BVOM/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/4DoAUh_BVOM/maxresdefault.jpg', 'width': 1280, 'height': 720}}",NYC Department of City Planning,PLGrmWHAps7Bwmn16RXA0R3ql2r9on8SQ2,0,"{'kind': 'youtube#video', 'videoId': '4DoAUh_BVOM'}",NYC Department of City Planning,UCu0amGxQJBNtd1YlTFETTqQ,https://i.ytimg.com/vi/4DoAUh_BVOM/hqdefault.jpg
youtube#playlistItem,PSK_Uks2ejlQrZgBdiNWJjzozqw,UExHcm1XSEFwczdCd21uMTZSWEEwUjNxbDJyOW9uOFNRMi41RTNBREYwMkI5QzU3RkY2,https://www.youtube.com/watch?v=7igQ2u4tuiQ,7igQ2u4tuiQ,2024-12-04T15:02:33Z,UCu0amGxQJBNtd1YlTFETTqQ,"December 4th, 2024: City Planning Commission Public Meeting","Calendar for December 4*, 2024: https://www1.nyc.gov/assets/planning/download/pdf/about/commission/calendar.pdf?r=12424
*Meeting held in person in the New York City Department of City Planning Hearing Room, 120 Broadway, Lower Concourse, and remotely via ZOOM Webinar.

Upcoming CPC meetings: https://www1.nyc.gov/site/planning/about/commission-meetings.page

City Planning Commission (CPC) Public Meetings are open to the public and typically begin at 10:00am on Wednesdays, following a Monday CPC Review Session. The CPC Public Meetings are comprised of:

- Scheduling dates for future public hearings
- Reports (Commission votes)
- Public hearings, during which testimony is accepted regarding land use applications in public review.","{'default': {'url': 'https://i.ytimg.com/vi/7igQ2u4tuiQ/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/7igQ2u4tuiQ/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/7igQ2u4tuiQ/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/7igQ2u4tuiQ/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/7igQ2u4tuiQ/maxresdefault.jpg', 'width': 1280, 'height': 720}}",NYC Department of City Planning,PLGrmWHAps7Bwmn16RXA0R3ql2r9on8SQ2,1,"{'kind': 'youtube#video', 'videoId': '7igQ2u4tuiQ'}",NYC Department of City Planning,UCu0amGxQJBNtd1YlTFETTqQ,https://i.ytimg.com/vi/7igQ2u4tuiQ/hqdefault.jpg
youtube#playlistItem,mNDKOj__QHGnDtOP_feJKOEHMwA,UExHcm1XSEFwczdCd21uMTZSWEEwUjNxbDJyOW9uOFNRMi40QzRDOEU0QUYwNUIxN0M1,https://www.youtube.com/watch?v=b0j0dlbsRTY,b0j0dlbsRTY,2024-12-02T23:42:24Z,UCu0amGxQJBNtd1YlTFETTqQ,"December 2nd, 2024: City Planning Commission Review Session","Calendar for December 2*, 2024: https://www1.nyc.gov/assets/planning/download/pdf/about/commission/review-session.pdf?r=12/2/24.
*Meeting held in person in the New York City Department of City Planning Hearing Room, 120 Broadway, Lower Concourse, and remotely via ZOOM Webinar.

Upcoming CPC meetings: https://www1.nyc.gov/site/planning/about/commission-meetings.page

City Planning Commission (CPC) Public Meetings are open to the public and typically begin at 10:00am on Wednesdays, following a Monday CPC Review Session. The CPC Public Meetings are comprised of:

- Scheduling dates for future public hearings
- Reports (Commission votes)
- Public hearings, during which testimony is accepted regarding land use applications in public review

 Closed captioning is available through YouTube, and DCP makes no representations or warranties with respect thereto.","{'default': {'url': 'https://i.ytimg.com/vi/b0j0dlbsRTY/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/b0j0dlbsRTY/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/b0j0dlbsRTY/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/b0j0dlbsRTY/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/b0j0dlbsRTY/maxresdefault.jpg', 'width': 1280, 'height': 720}}",NYC Department of City Planning,PLGrmWHAps7Bwmn16RXA0R3ql2r9on8SQ2,2,"{'kind': 'youtube#video', 'videoId': 'b0j0dlbsRTY'}",NYC Department of City Planning,UCu0amGxQJBNtd1YlTFETTqQ,https://i.ytimg.com/vi/b0j0dlbsRTY/hqdefault.jpg
youtube#playlistItem,T-GLdvxHjiZKUWkxTQY850nEcKA,UExHcm1XSEFwczdCd21uMTZSWEEwUjNxbDJyOW9uOFNRMi4yQUJFNUVCMzVDNjcxRTlF,https://www.youtube.com/watch?v=udz8obKspfg,udz8obKspfg,2024-11-22T18:39:48Z,UCu0amGxQJBNtd1YlTFETTqQ,"November 18th, 2024: City Planning Commission Review Session","Calendar for November 18*, 2024: https://www1.nyc.gov/assets/planning/download/pdf/about/commission/review-session.pdf?r=11/18/24.
*Meeting held in person in the New York City Department of City Planning Hearing Room, 120 Broadway, Lower Concourse, and remotely via ZOOM Webinar.

Upcoming CPC meetings: https://www1.nyc.gov/site/planning/about/commission-meetings.page

City Planning Commission (CPC) Public Meetings are open to the public and typically begin at 10:00am on Wednesdays, following a Monday CPC Review Session. The CPC Public Meetings are comprised of:

- Scheduling dates for future public hearings
- Reports (Commission votes)
- Public hearings, during which testimony is accepted regarding land use applications in public review

 Closed captioning is available through YouTube, and DCP makes no representations or warranties with respect thereto.","{'default': {'url': 'https://i.ytimg.com/vi/udz8obKspfg/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/udz8obKspfg/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/udz8obKspfg/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/udz8obKspfg/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/udz8obKspfg/maxresdefault.jpg', 'width': 1280, 'height': 720}}",NYC Department of City Planning,PLGrmWHAps7Bwmn16RXA0R3ql2r9on8SQ2,3,"{'kind': 'youtube#video', 'videoId': 'udz8obKspfg'}",NYC Department of City Planning,UCu0amGxQJBNtd1YlTFETTqQ,https://i.ytimg.com/vi/udz8obKspfg/hqdefault.jpg
youtube#playlistItem,lUV2oF7qtAAB3wyQ1OnLz5REnmA,UExHcm1XSEFwczdCd21uMTZSWEEwUjNxbDJyOW9uOFNRMi4yQjZFRkExQjFGODk3RUFD,https://www.youtube.com/watch?v=PDMysEToRDA,PDMysEToRDA,2024-11-22T18:38:31Z,UCu0amGxQJBNtd1YlTFETTqQ,"November 20th, 2024: City Planning Commission Public Meeting","Calendar for November 20*, 2024: https://www1.nyc.gov/assets/planning/download/pdf/about/commission/calendar.pdf?r=112024
*Meeting held in person in the New York City Department of City Planning Hearing Room, 120 Broadway, Lower Concourse, and remotely via ZOOM Webinar.

Upcoming CPC meetings: https://www1.nyc.gov/site/planning/about/commission-meetings.page

City Planning Commission (CPC) Public Meetings are open to the public and typically begin at 10:00am on Wednesdays, following a Monday CPC Review Session. The CPC Public Meetings are comprised of:

- Scheduling dates for future public hearings
- Reports (Commission votes)
- Public hearings, during which testimony is accepted regarding land use applications in public review.","{'default': {'url': 'https://i.ytimg.com/vi/PDMysEToRDA/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/PDMysEToRDA/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/PDMysEToRDA/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/PDMysEToRDA/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/PDMysEToRDA/maxresdefault.jpg', 'width': 1280, 'height': 720}}",NYC Department of City Planning,PLGrmWHAps7Bwmn16RXA0R3ql2r9on8SQ2,4,"{'kind': 'youtube#video', 'videoId': 'PDMysEToRDA'}",NYC Department of City Planning,UCu0amGxQJBNtd1YlTFETTqQ,https://i.ytimg.com/vi/PDMysEToRDA/hqdefault.jpg
youtube#playlistItem,ZmUmraowLz0oo_tP3tn5HTQBE5c,UExHcm1XSEFwczdCd21uMTZSWEEwUjNxbDJyOW9uOFNRMi41MzY4MzcwOUFFRUU3QzEx,https://www.youtube.com/watch?v=9GPlXlI87pY,9GPlXlI87pY,2024-11-06T14:58:41Z,UCu0amGxQJBNtd1YlTFETTqQ,"November 6th, 2024: City Planning Commission Public Meeting","Calendar for November 6*, 2024: https://www1.nyc.gov/assets/planning/download/pdf/about/commission/calendar.pdf?r=11624
*Meeting held in person in the New York City Department of City Planning Hearing Room, 120 Broadway, Lower Concourse, and remotely via ZOOM Webinar.

Upcoming CPC meetings: https://www1.nyc.gov/site/planning/about/commission-meetings.page

City Planning Commission (CPC) Public Meetings are open to the public and typically begin at 10:00am on Wednesdays, following a Monday CPC Review Session. The CPC Public Meetings are comprised of:

- Scheduling dates for future public hearings
- Reports (Commission votes)
- Public hearings, during which testimony is accepted regarding land use applications in public review.","{'default': {'url': 'https://i.ytimg.com/vi/9GPlXlI87pY/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/9GPlXlI87pY/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/9GPlXlI87pY/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/9GPlXlI87pY/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/9GPlXlI87pY/maxresdefault.jpg', 'width': 1280, 'height': 720}}",NYC Department of City Planning,PLGrmWHAps7Bwmn16RXA0R3ql2r9on8SQ2,5,"{'kind': 'youtube#video', 'videoId': '9GPlXlI87pY'}",NYC Department of City Planning,UCu0amGxQJBNtd1YlTFETTqQ,https://i.ytimg.com/vi/9GPlXlI87pY/hqdefault.jpg
youtube#playlistItem,iFBISfZ2hx0ftxd-BdjhcO0oazo,UExHcm1XSEFwczdCd21uMTZSWEEwUjNxbDJyOW9uOFNRMi5DRUQwODMxQzUyRTlGRkY3,https://www.youtube.com/watch?v=6wAk2DMISzk,6wAk2DMISzk,2024-11-04T17:59:05Z,UCu0amGxQJBNtd1YlTFETTqQ,"November 4th, 2024: City Planning Commission Review Session","Calendar for November 4*, 2024: https://www1.nyc.gov/assets/planning/download/pdf/about/commission/review-session.pdf?r=11/4/24.
*Meeting held in person in the New York City Department of City Planning Hearing Room, 120 Broadway, Lower Concourse, and remotely via ZOOM Webinar.

Upcoming CPC meetings: https://www1.nyc.gov/site/planning/about/commission-meetings.page

City Planning Commission (CPC) Public Meetings are open to the public and typically begin at 10:00am on Wednesdays, following a Monday CPC Review Session. The CPC Public Meetings are comprised of:

- Scheduling dates for future public hearings
- Reports (Commission votes)
- Public hearings, during which testimony is accepted regarding land use applications in public review

 Closed captioning is available through YouTube, and DCP makes no representations or warranties with respect thereto.","{'default': {'url': 'https://i.ytimg.com/vi/6wAk2DMISzk/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/6wAk2DMISzk/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/6wAk2DMISzk/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/6wAk2DMISzk/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/6wAk2DMISzk/maxresdefault.jpg', 'width': 1280, 'height': 720}}",NYC Department of City Planning,PLGrmWHAps7Bwmn16RXA0R3ql2r9on8SQ2,6,"{'kind': 'youtube#video', 'videoId': '6wAk2DMISzk'}",NYC Department of City Planning,UCu0amGxQJBNtd1YlTFETTqQ,https://i.ytimg.com/vi/6wAk2DMISzk/hqdefault.jpg
youtube#playlistItem,_hBjic6QlxNsg-55W5ZvcFeo75s,UExHcm1XSEFwczdCd21uMTZSWEEwUjNxbDJyOW9uOFNRMi5DNkMwRUI2MkI4QkI4NDFG,https://www.youtube.com/watch?v=Uyw4dRjfCdE,Uyw4dRjfCdE,2024-10-16T13:58:27Z,UCu0amGxQJBNtd1YlTFETTqQ,"October 16th, 2024: City Planning Commission Public Meeting","Calendar for October 16*, 2024: https://www1.nyc.gov/assets/planning/download/pdf/about/commission/calendar.pdf?r=101624
*Meeting held in person in the New York City Department of City Planning Hearing Room, 120 Broadway, Lower Concourse, and remotely via ZOOM Webinar.

Upcoming CPC meetings: https://www1.nyc.gov/site/planning/about/commission-meetings.page

City Planning Commission (CPC) Public Meetings are open to the public and typically begin at 10:00am on Wednesdays, following a Monday CPC Review Session. The CPC Public Meetings are comprised of:

- Scheduling dates for future public hearings
- Reports (Commission votes)
- Public hearings, during which testimony is accepted regarding land use applications in public review.","{'default': {'url': 'https://i.ytimg.com/vi/Uyw4dRjfCdE/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/Uyw4dRjfCdE/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/Uyw4dRjfCdE/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/Uyw4dRjfCdE/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/Uyw4dRjfCdE/maxresdefault.jpg', 'width': 1280, 'height': 720}}",NYC Department of City Planning,PLGrmWHAps7Bwmn16RXA0R3ql2r9on8SQ2,7,"{'kind': 'youtube#video', 'videoId': 'Uyw4dRjfCdE'}",NYC Department of City Planning,UCu0amGxQJBNtd1YlTFETTqQ,https://i.ytimg.com/vi/Uyw4dRjfCdE/hqdefault.jpg
youtube#playlistItem,I9lj4Sa63v8A0vt-ZUcQ2NmzPy4,UExHcm1XSEFwczdCd21uMTZSWEEwUjNxbDJyOW9uOFNRMi45NkVENTkxRDdCQUFBMDY4,https://www.youtube.com/watch?v=EVyU9IbFhrw,EVyU9IbFhrw,2024-10-15T17:01:04Z,UCu0amGxQJBNtd1YlTFETTqQ,"October 15th, 2024: City Planning Commission Review Session","Calendar for October 15*, 2024: https://www1.nyc.gov/assets/planning/download/pdf/about/commission/review-session.pdf?r=10/15/24.
*Meeting held in person in the New York City Department of City Planning Hearing Room, 120 Broadway, Lower Concourse, and remotely via ZOOM Webinar.

Upcoming CPC meetings: https://www1.nyc.gov/site/planning/about/commission-meetings.page

City Planning Commission (CPC) Public Meetings are open to the public and typically begin at 10:00am on Wednesdays, following a Monday CPC Review Session. The CPC Public Meetings are comprised of:

- Scheduling dates for future public hearings
- Reports (Commission votes)
- Public hearings, during which testimony is accepted regarding land use applications in public review

 Closed captioning is available through YouTube, and DCP makes no representations or warranties with respect thereto.","{'default': {'url': 'https://i.ytimg.com/vi/EVyU9IbFhrw/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/EVyU9IbFhrw/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/EVyU9IbFhrw/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/EVyU9IbFhrw/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/EVyU9IbFhrw/maxresdefault.jpg', 'width': 1280, 'height': 720}}",NYC Department of City Planning,PLGrmWHAps7Bwmn16RXA0R3ql2r9on8SQ2,8,"{'kind': 'youtube#video', 'videoId': 'EVyU9IbFhrw'}",NYC Department of City Planning,UCu0amGxQJBNtd1YlTFETTqQ,https://i.ytimg.com/vi/EVyU9IbFhrw/hqdefault.jpg
youtube#playlistItem,n9qbdJ9WvngtV3IU4BHgVIZEWn4,UExHcm1XSEFwczdCd21uMTZSWEEwUjNxbDJyOW9uOFNRMi4zQzFBN0RGNzNFREFCMjBE,https://www.youtube.com/watch?v=mFX0WOJsSxA,mFX0WOJsSxA,2024-09-25T14:59:21Z,UCu0amGxQJBNtd1YlTFETTqQ,"September 25th, 2024: City Planning Commision Public Meeting + Special Review Session","Calendar for September 25*, 2024: https://www1.nyc.gov/assets/planning/download/pdf/about/commission/calendar.pdf?r=92524
*Meeting held in person in the New York City Department of City Planning Hearing Room, 120 Broadway, Lower Concourse, and remotely via ZOOM Webinar.

Upcoming CPC meetings: https://www1.nyc.gov/site/planning/about/commission-meetings.page

City Planning Commission (CPC) Public Meetings are open to the public and typically begin at 10:00am on Wednesdays, following a Monday CPC Review Session. The CPC Public Meetings are comprised of:

- Scheduling dates for future public hearings
- Reports (Commission votes)
- Public hearings, during which testimony is accepted regarding land use applications in public review.","{'default': {'url': 'https://i.ytimg.com/vi/mFX0WOJsSxA/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/mFX0WOJsSxA/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/mFX0WOJsSxA/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/mFX0WOJsSxA/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/mFX0WOJsSxA/maxresdefault.jpg', 'width': 1280, 'height': 720}}",NYC Department of City Planning,PLGrmWHAps7Bwmn16RXA0R3ql2r9on8SQ2,9,"{'kind': 'youtube#video', 'videoId': 'mFX0WOJsSxA'}",NYC Department of City Planning,UCu0amGxQJBNtd1YlTFETTqQ,https://i.ytimg.com/vi/mFX0WOJsSxA/hqdefault.jpg
youtube#playlistItem,qpczOzsOHjOqP2eefrvOp9TEZ_8,UExHcm1XSEFwczdCd21uMTZSWEEwUjNxbDJyOW9uOFNRMi5GNDg1Njc1QzZERjlFRjE5,https://www.youtube.com/watch?v=FdCB1OzaXq4,FdCB1OzaXq4,2024-09-23T18:31:15Z,UCu0amGxQJBNtd1YlTFETTqQ,"September 23rd, 2024: City Planning Commission Review Session + Special Public Meeting","Calendar for September 23*, 2024: https://www1.nyc.gov/assets/planning/download/pdf/about/commission/review-session.pdf?r=9/23/24.
*Meeting held in person in the New York City Department of City Planning Hearing Room, 120 Broadway, Lower Concourse, and remotely via ZOOM Webinar.

Upcoming CPC meetings: https://www1.nyc.gov/site/planning/about/commission-meetings.page

City Planning Commission (CPC) Public Meetings are open to the public and typically begin at 10:00am on Wednesdays, following a Monday CPC Review Session. The CPC Public Meetings are comprised of:

- Scheduling dates for future public hearings
- Reports (Commission votes)
- Public hearings, during which testimony is accepted regarding land use applications in public review

 Closed captioning is available through YouTube, and DCP makes no representations or warranties with respect thereto.","{'default': {'url': 'https://i.ytimg.com/vi/FdCB1OzaXq4/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/FdCB1OzaXq4/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/FdCB1OzaXq4/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/FdCB1OzaXq4/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/FdCB1OzaXq4/maxresdefault.jpg', 'width': 1280, 'height': 720}}",NYC Department of City Planning,PLGrmWHAps7Bwmn16RXA0R3ql2r9on8SQ2,10,"{'kind': 'youtube#video', 'videoId': 'FdCB1OzaXq4'}",NYC Department of City Planning,UCu0amGxQJBNtd1YlTFETTqQ,https://i.ytimg.com/vi/FdCB1OzaXq4/hqdefault.jpg
